"","Provider.ID","QC-T-ed_1b","QC-T-op_3b","QC-T-op_20","QC-T","QC-CP-op_6","QC-CP-op_7","QC-CP-pn_6","QC-CP-scip_inf_1","QC-CP-scip_inf_2","QC-CP-scip_inf_3","QC-CP-scip_vte_2","QC-CP-stk_6","QC-CP-vte_3","QC-CP-vte_6","QC-CP","QC-AD-readm_30_ami","QC-AD-readm_30_copd","QC-AD-readm_30_cabg","QC-AD-readm_30_hf","QC-AD-readm_30_pn","QC-AD-readm_30_hipknee","QC-AD-readm_30_stk","QC-AD","PD-mort_30_copd","PD-mort_30_cabg","PD-mort_30_ami","PD-mort_30_hf","PD-mort_30_pn","PD-mort_30_stk","QC","PD","PW","QS"
"17","06005F",NA,NA,NA,NA,NA,NA,0.7875,0.98,0.989010989010989,0.978021978021978,0.97,NA,NA,NA,0.940906593406593,0.779756733275413,NA,NA,0.952662721893491,0.47125621007807,NA,NA,0.734558555082324,NA,NA,0.877494014365523,0.728684210526316,0.169990503323837,NA,NA,19.7352080912853,NA,NA
"18","06007F",NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,1,NA,NA,NA,0.937741188577309,0.928554530399811,NA,NA,0.93314785948856,NA,NA,NA,0.867631578947368,0.830721747388414,NA,NA,28.305888772263,NA,NA
"19","07003F",NA,NA,NA,NA,NA,NA,1,1,1,0.967032967032967,1,NA,NA,NA,0.993406593406593,0.392701998262381,NA,NA,0.135837406740417,0.9680624556423,NA,NA,0.498867286881699,NA,NA,0.616520351157223,0.932368421052632,0.731244064577398,NA,NA,25.3348092976361,NA,NA
"20","08002F",NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,0.887573964497041,0.671871303524959,NA,NA,0.779722634011,NA,NA,NA,0.553684210526316,0.117996201329535,NA,NA,11.1946735309308,NA,NA
"21","09002F",NA,NA,NA,NA,NA,NA,0.9625,0.97,0.989010989010989,0.956043956043956,0.98,NA,NA,NA,0.971510989010989,0.170286707211121,NA,NA,0.00874710573707227,0.00780695528743791,NA,NA,0.0622802560785436,NA,NA,0.800877893056664,0.817894736842105,0.710588793922127,NA,NA,25.88179359801,NA,NA
"22","100001",0.992605233219568,NA,0.962432915921288,0.977519074570428,0.946666666666667,1,0.9375,0.98,0.989010989010989,0.978021978021978,1,0.926829268292683,0.921875,0.971830985915493,0.965173488790781,0.00564726324934839,0.260542573193661,0.10171102661597,0.322356573192694,0.0854033593565177,0.0834832673623606,0.0602276900477414,0.131338821859756,0.634193194291987,0.0716305372290292,0.0458898643256185,0.932368421052632,0.731244064577398,0.0347700108656284,23.0447931691218,13.6116449574572,2.5,39.156438126579
"23","100002",0.60551763367463,NA,0.15474060822898,0.380129120951805,0.986666666666667,0.951612903225806,0.975,0.99,0.989010989010989,0.945054945054945,1,0.926829268292683,1,1,0.976417477225109,0.856211989574283,0.288208434058555,0.872623574144487,0.720349884229483,0.32907499408564,0.858582223821518,0.889092912229159,0.687734858877589,0.120472008781559,0.540999057492931,0.650837988826816,0.407105263157895,0.404795821462488,0.522274538210793,22.7142384117167,14.7026926551805,4.58333333333333,42.0002644002305
"24","100006",0.808589306029579,NA,0.962432915921288,0.885511110975433,0.986666666666667,0.967741935483871,0.9375,1,0.989010989010989,0.978021978021978,0.99,0.98780487804878,0.921875,0.985915492957746,0.974453694019003,0.392701998262381,0.780016116035455,0.159695817490494,0.919475173655776,0.707357463922404,0.130622526088521,0.384869629085567,0.496391246362943,0.796377607025247,0.333647502356268,0.324421388667199,0.357105263157895,0.480294396961064,0.444042013763129,26.1817339039709,15.1993787329489,2.5,43.8811126369198
"25","100007",0.820534698521047,NA,0.836314847942755,0.828424773231901,0.986666666666667,0.967741935483871,0.9875,1,0.989010989010989,0.989010989010989,1,0.975609756097561,0.84375,0.887323943661972,0.962661427993205,0.0199826238053866,0.0193392425463336,0.0275665399239544,0.0499099562644714,0.221433640880057,0.16012954300108,0.0293793609988983,0.0753915582028829,0.830954994511526,0.0386427898209236,0.324421388667199,0.612894736842105,0.731244064577398,0.822528069540022,20.7386417714221,18.6704780219954,17.5,56.9091197934175
"26","100008",0.96103526734926,NA,0.944543828264758,0.952789547807009,1,1,1,1,1,1,1,1,1,1,1,0.934404865334492,0.780016116035455,0.892585551330799,0.112940571134551,0.362195410456589,0.925152932709608,0.208226221079691,0.602217381154455,0.967892425905598,0.913289349670123,0.72146847565842,0.643421052631579,0.937559354226021,0.62875769648678,28.3889658773496,26.7354908587696,12.5,67.6244567361192
