Provider.ID,QC-T-ed_1b,QC-T-op_3b,QC-T-op_20,QC-T,QC-CP-op_6,QC-CP-op_7,QC-CP-pn_6,QC-CP-scip_inf_1,QC-CP-scip_inf_2,QC-CP-scip_inf_3,QC-CP-scip_vte_2,QC-CP-stk_6,QC-CP-vte_3,QC-CP-vte_6,QC-CP,QC-AD-readm_30_ami,QC-AD-readm_30_copd,QC-AD-readm_30_cabg,QC-AD-readm_30_hf,QC-AD-readm_30_pn,QC-AD-readm_30_hipknee,QC-AD-readm_30_stk,QC-AD,PD-mort_30_copd,PD-mort_30_cabg,PD-mort_30_ami,PD-mort_30_hf,PD-mort_30_pn,PD-mort_30_stk,QC,PD,PW,QS,State
400126,,,,,,,,,,,,0.634146341,,,0.634146341,,,,,,,,,,,,,,,,,,,PR
400127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PR
400128,,,,,,,0.7375,0.99,0.967032967,0.989010989,1,,,,0.936708791,,,,,0.136740005,,,0.136740005,,,,,0.332146249,,,11.07154163,,,PR
400130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PR
400131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PR
410001,0.805176337,0.146699267,0.795169946,0.582348517,0.96,0.951612903,0.95,0.98,0.967032967,0.967032967,0.99,0.975609756,1,,0.971254288,0.637271937,0.14074671,,0.449446874,0.553820677,0.34041022,0.53837679,0.443345535,0.222283205,,0.418196329,0.497105263,0.789411206,0.654473017,22.18831488,17.20979347,6.25,45.64810835,RI
410004,0.888794084,,0.185450209,0.537122146,0.92,1,1,1,0.978021978,0.978021978,0.99,0.93902439,0.828125,,0.959243705,0.67767159,0.119527263,,0.611525598,0.47125621,0.561353005,0.420492104,0.476970962,0.222283205,,0.858739026,0.085526316,0.731244065,0.744295545,21.92596459,17.61392105,9.583333333,49.12321897,RI
410005,0.890784983,,0.566189624,0.728487304,0.973333333,0.983870968,0.9625,1,1,1,1,0.926829268,0.96875,1,0.981528357,0.113814075,0.070373355,,0.039361976,0.09510291,0.19827276,0.709144326,0.2043449,0.546377607,,0.301675978,0.497105263,0.551519468,0.553422673,21.2706729,16.33400659,11.66666667,49.27134616,RI
410006,0.729522184,0.630806846,0.921884317,0.760737782,0.946666667,0.935483871,0.9375,0.97,0.989010989,0.989010989,0.99,0.987804878,0.84375,1,0.958922739,0.553431798,0.579102874,,0.876254181,0.9602555,0.707808564,0.948586118,0.770906506,0.763446762,,0.749401437,0.854210526,0.830721747,0.58420862,27.67296698,25.21326061,9.583333333,62.46956092,RI
410007,0.923777019,,0.968395945,0.946086482,0.986666667,0.983870968,1,0.99,0.989010989,0.989010989,1,0.975609756,1,0.901408451,0.981557782,0.264986968,0.172978781,0.149239544,0.241317211,0.221433641,0.95897805,0.669849431,0.382683375,0.019484083,0.120640905,0.976855547,0.357105263,0.917616334,0.214052879,25.6703071,14.47641673,8.75,48.89672383,RI
